,date,dateTime,open,high,low,close,volume
16623,2023-03-13 16:30:00,1678721400000,24386.6,25000,23000,24123.1,7040.865
16624,2023-03-13 16:45:00,1678722300000,24123.1,24132.9,23952.3,24011.7,7541.222
16625,2023-03-13 17:00:00,1678723200000,24011.7,24933.6,23920,24076.4,7834.488
16626,2023-03-13 17:15:00,1678724100000,24076.4,24226.2,23988.5,24006.6,7977.39
16627,2023-03-13 17:30:00,1678725000000,24006.6,24098.7,23785.6,24087.4,5970.855
16628,2023-03-13 17:45:00,1678725900000,24087.4,24097.8,23945.5,23996.1,8756.525
16629,2023-03-13 18:00:00,1678726800000,23996.1,23996.1,23842.1,23932,8306.185
16630,2023-03-13 18:15:00,1678727700000,23932,24012.8,23872,23995,8448.195
16631,2023-03-13 18:30:00,1678728600000,23995,24170,23990.8,24163,8468.919
16632,2023-03-13 18:45:00,1678729500000,24163,25408.2,24053,24128.8,8840.461
16633,2023-03-13 19:00:00,1678730400000,24128.8,24267.5,24038.9,24137.3,8308.483
16634,2023-03-13 19:15:00,1678731300000,24137.3,24196.1,24100,24166.7,9387.687
16635,2023-03-13 19:30:00,1678732200000,24166.7,28000,21715,24213.3,16298.067
16636,2023-03-13 19:45:00,1678733100000,24213.3,28000,24161.5,25450.1,11863.315
16637,2023-03-13 20:00:00,1678734000000,25450.1,26200,20000,24306,12618.349
16638,2023-03-13 20:15:00,1678734900000,24306,24319.8,24127.5,24176.1,9289.884
16639,2023-03-13 20:30:00,1678735800000,24176.1,24328.2,24176,24295.9,9301.056
16640,2023-03-13 20:45:00,1678736700000,24295.9,24323.9,24173.8,24302.5,9725.712
16641,2023-03-13 21:00:00,1678737600000,24302.5,24332.2,24154.5,24174.6,8369.533
16642,2023-03-13 21:15:00,1678738500000,24174.6,24235.7,24136.9,24137.1,8568.994
16643,2023-03-13 21:30:00,1678739400000,24137.1,24221.5,24075,24204.9,6871.632
16644,2023-03-13 21:45:00,1678740300000,24204.9,24316.5,24118,24150.7,7193.118
